name,descount_price,orginal_price,descount_Percent,review,reviews,rating
"CMF by Nothing Phone 2 Pro (Black, 128 GB)","₹18,999","₹22,999",17,7,4,7
"Nothing Phone (3a) (Black, 128 GB)","₹24,999","₹27,999",10,2,4,2
"REDMI A5 (Jaisalmer Gold, 64 GB)","₹6,499","₹8,999",27,4,4,9
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)","₹19,999","₹24,999",20,7,4,1
"Nothing Phone (3a) Pro (Black, 128 GB)","₹28,999","₹32,999",12,4,4,4
"Samsung Galaxy F05 (Twilight Blue, 64 GB)","₹6,249","₹9,999",37,3,4,5
"REDMI 13 5G (Orchid Pink, 128 GB)","₹13,999","₹19,999",30,5,4,8
"vivo T4x 5G (Marine Blue, 128 GB)","₹13,999","₹17,999",22,3,4,5
"REDMI A3X (Ocean Green, 64 GB)","₹5,999","₹9,999",40,3,4,6
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Buttons","₹1,799","₹2,199",18,4,4,9
"REDMI A3X (Olive Green, 64 GB)","₹5,999","₹9,999",40,3,4,6
"POCO C75 5G (Enchanted Green, 64 GB)","₹7,699","₹10,999",30,3,4,6
Nokia 105 Classic with Charger,"₹1,134","₹1,399",18,3,3,5
"MOTOROLA g05 (Forest Green, 64 GB)","₹6,999","₹9,999",30,2,4,3
"REDMI 13 5G (Orchid Pink, 128 GB)","₹12,499","₹17,999",30,1,4,3
"REDMI A5 (Pondicherry Blue, 64 GB)","₹6,499","₹8,999",27,4,4,9
"MOTOROLA g05 (Plum Red, 64 GB)","₹6,999","₹9,999",30,2,4,3
"Infinix Note 50s 5G+ (Marine Drift, 128 GB)","₹15,999","₹21,999",27,9,4,9
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999","₹14,999",20,8,4,1
"REDMI A5 (Just Black, 64 GB)","₹6,499","₹8,999",27,4,4,9
